transaction_id,at,truck_name,payment_method,total,truck_id,payment_method_id,fsa_rating,has_card_reader,truck_description
2795,2026-01-05 13:45:00,Cupcakes by Michelle,cash,299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2793,2026-01-05 13:38:00,Cupcakes by Michelle,cash,299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2789,2026-01-05 13:29:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2787,2026-01-05 13:25:00,Cupcakes by Michelle,cash,299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2783,2026-01-05 13:08:00,Cupcakes by Michelle,cash,299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2779,2026-01-05 12:59:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2775,2026-01-05 12:57:00,Cupcakes by Michelle,cash,299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2773,2026-01-05 12:54:00,Cupcakes by Michelle,cash,299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2771,2026-01-05 12:52:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2769,2026-01-05 12:48:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2768,2026-01-05 12:48:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2767,2026-01-05 12:48:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2763,2026-01-05 12:42:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2761,2026-01-05 12:39:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2760,2026-01-05 12:37:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2758,2026-01-05 12:35:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2757,2026-01-05 12:34:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2754,2026-01-05 12:29:00,Cupcakes by Michelle,cash,199.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2742,2026-01-05 12:19:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2741,2026-01-05 12:18:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2740,2026-01-05 12:18:00,Cupcakes by Michelle,cash,199.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2738,2026-01-05 12:17:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2737,2026-01-05 12:17:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2735,2026-01-05 12:13:00,Cupcakes by Michelle,cash,199.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2734,2026-01-05 12:13:00,Cupcakes by Michelle,cash,199.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2729,2026-01-05 12:02:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2727,2026-01-05 11:59:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2726,2026-01-05 11:59:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2724,2026-01-05 11:57:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2723,2026-01-05 11:57:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2722,2026-01-05 11:57:00,Cupcakes by Michelle,cash,499.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2721,2026-01-05 11:57:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2720,2026-01-05 11:57:00,Cupcakes by Michelle,cash,1299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2719,2026-01-05 11:57:00,Cupcakes by Michelle,cash,799.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2714,2026-01-05 11:55:00,Cupcakes by Michelle,cash,1299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
2713,2026-01-05 11:54:00,Cupcakes by Michelle,cash,1299.0,3,1,5,True,"Handcrafted cupcakes made with high-quality, organic ingredients."
